coenti;ramos;UF; premio_dir ;Filtro
5096;984;SP;1.899.191,70;S
5096;990;SP;31.445,70;S
5096;993;SP;12.479.040,60;S
5096;994;SP;24.401.197,40;S
5096;1329;SP;17.061,00;S
5096;1381;SP;132.265,40;S
5096;1391;SP;67.868,30;S
5096;1392;SP;873.915.513,50;S
5118;114;RS;1.437.303,80;S
5118;116;RJ;1.213.073,50;S
5118;118;RJ;638.290,90;S
5118;141;RJ;35.148,70;S
5118;351;RJ;112.654,90;S
5118;520;RJ;455.064,20;S
5118;525;RS;104.548,10;S
5118;531;SP;35.265.145,80;S
5118;542;SP;8.834.937,90;S
5118;553;SP;10.353.697,90;S
5118;993;RJ;76.836,00;S
5142;929;SP;30.150,30;S
5142;977;RS;23.067.941,10;S
5142;982;RS;3.703.106,00;S
5142;990;RJ;366.736,20;S
5142;993;RS;39.355.963,30;S
5142;994;SP;1.614.000,50;S
5142;1061;RS;672.895,80;S
5142;1198;RS;427.274,00;S
5142;1329;RS;215.490,70;S
5142;1381;RJ;166.592,10;S
5142;1391;SP;1.958.850,50;S
5142;1392;SP;16.245.202,20;S
5142;2293;PR;340.513,50;S
5177;112;RS;160.439,50;S
5177;114;SP;245.573,30;S
5177;115;SP;751.925,00;S
5177;116;SP;1.911.897,80;S
5177;118;SP;1.474.982,40;S
5177;141;SP;198.482,10;S
5177;167;PR;2.550.663,60;S
5177;171;SP;2.183.502,70;S
5177;196;SP;8.594.140,70;S
5177;310;SP;556.228,30;S
5177;313;RJ;77.872,90;S
5177;327;MG;443.750,00;S
5177;351;SP;2.061.018,60;S
5177;378;SP;1.491.804,50;S
5177;520;SP;3.467.758,30;S
5177;524;RJ;19.784,20;S
5177;525;RS;450.312,00;S
5177;531;SP;40.709.307,50;S
5177;542;PB;1.516.259,20;S
5177;553;SP;12.046.379,90;S
5177;621;SP;14.061.930,40;S
5177;622;CE;265.542,20;S
5177;632;PR;312.230,30;S
5177;654;SP;3.561.340,10;S
5177;655;MG;1.146.963,40;S
5177;775;SP;875.715,00;S
5177;776;RJ;56.453,60;S
5177;977;RS;39.414,00;S
5177;982;SP;219.344,40;S
5177;990;SP;381.855,40;S
5177;993;SP;1.545.600,60;S
5177;1061;SP;405.317,00;S
5177;1065;SP;171.070,00;S
5177;1101;MS;5.472.905,20;S
5177;1102;MS;15.971,60;S
5177;1107;DF;250.828,20;S
5177;1108;MG;168.915,60;S
5177;1130;RS;597.726,60;S
5177;1162;RS;703.349,40;S
5177;1369;SP;2.046.822,70;S
5177;1381;ES;43.832,80;S
5177;1391;SP;817.549,90;S
5177;1417;CE;20.488,20;S
5177;1433;SP;1.022.430,00;S
5177;1528;RJ;1.300.092,40;S
5177;1535;BA;34.012,20;S
5177;1537;PE;490.516,80;S
5177;1597;SP;11.283,50;S
5177;1734;RJ;11.713.736,70;S
5185;112;SC;164.033,80;S
5185;114;PR;1.632.326,40;S
5185;118;PR;1.257.165,90;S
5185;141;SP;52.756,20;S
5185;167;SP;326.559,90;S
5185;171;RS;244.505,60;S
5185;196;SP;131.950,60;S
5185;234;RJ;46.223,70;S
5185;310;SP;1.123.833,00;S
5185;351;SP;600.213,20;S
5185;378;SP;179.996,00;S
5185;520;RS;544.539,90;S
5185;525;RS;12.699,10;S
5185;531;SP;21.441.813,80;S
5185;542;SP;11.963.165,00;S
5185;553;SP;11.424.072,40;S
5185;621;SP;230.953,30;S
5185;622;PR;684.664,20;S
5185;654;SP;1.194.232,30;S
5185;655;SP;675.801,30;S
5185;746;MG;648.737,00;S
5185;775;SP;3.729.907,50;S
5185;776;RS;42.606,10;S
5185;929;SP;112.406,10;S
5185;977;MG;821.967,90;S
5185;980;SP;64.981,80;S
5185;982;SP;351.023,60;S
5185;990;RJ;47.250,60;S
5185;993;SP;1.842.552,30;S
5185;1162;SP;61.301,60;S
5185;1329;RS;97.560,90;S
5185;1377;SP;652.576,60;S
5185;1381;BA;418.126,80;S
5185;1384;RS;37.370,90;S
5185;1390;SP;31.463,40;S
5185;1391;RS;749.229,70;S
5185;1428;RJ;16.969,40;S
5185;1433;SP;630.508,80;S
5193;748;RS;5.136.755,80;S
5193;929;SC;38.843,50;S
5193;977;RS;1.066.993,40;S
5193;982;RS;2.388.343,00;S
5193;987;SC;41.672,90;S
5193;990;RS;60.188,90;S
5193;993;RS;1.917.905,50;S
5274;114;ES;112.006,10;S
5274;171;ES;22.373,30;S
5274;520;ES;180.950,20;S
5274;531;ES;4.168.240,10;S
5274;553;ES;1.390.330,50;S
5274;977;ES;277.009,10;S
5274;982;ES;141.699,10;S
5274;993;ES;4.402.787,60;S
5274;1381;ES;166.542,70;S
5274;1390;ES;42.794,60;S
5274;1392;ES;513.262,80;S
5282;1329;SP;278.239,30;S
5282;1381;SP;2.044.850,10;S
5282;1383;SP;2.866.108,60;S
5282;1384;SP;2.971.331,80;S
5282;1386;SP;696.808,80;S
5282;1390;SP;1.083.593,50;S
5282;1391;SP;36.034.525,90;S
5312;114;SP;9.658.934,50;S
5312;116;RJ;623.533,70;S
5312;118;SP;2.936.929,10;S
5312;167;SP;123.863,90;S
5312;171;RJ;12.174.112,70;S
5312;196;SP;17.310.254,90;S
5312;234;RJ;53.326,20;S
5312;351;RJ;133.139,90;S
5312;520;SP;619.124,30;S
5312;531;SP;52.983.906,10;S
5312;542;SP;995.377,70;S
5312;553;SP;15.253.674,50;S
5312;621;SP;1.804.783,40;S
5312;622;PR;371.835,20;S
5312;628;DF;47.818,20;S
5312;638;SP;117.165,40;S
5312;652;SP;87.349,60;S
5312;654;RS;3.399.617,20;S
5312;655;RS;2.452.572,30;S
5312;656;SP;72.663,10;S
5312;746;SP;93.455,10;S
5312;748;RJ;10.294.144,40;S
5312;870;RJ;876.758,00;S
5312;1061;RJ;14.957.137,60;S
5312;1065;RJ;6.512.123,50;S
5312;1068;RJ;2.742.268,60;S
5312;1130;PR;224.160,90;S
5312;1162;PR;1.329.784,00;S
5312;1428;SP;90.756,10;S
5312;1433;SP;1.152.558,40;S
